[ 04-26 19:37:02.761 INFO  ] RAM: 13.78 MB
[ 04-26 19:37:02.763 INFO  ] Graphics Mode: true
[ 04-26 19:37:02.763 INFO  ] Standalone: true
[ 04-26 19:37:02.764 INFO  ] Updating Directory:   D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Working Directory:    D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Executable Directory: D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/035f6962f2204b3b7d7cb9c3f17f8df1141cb9c1
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/03658a18af099f00103fbc2bf5e1dde514e63dff
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/0369a1236a4b9ca219fd3ad7d19d0b5237510b1e
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/036b84d1cb5abfe2bfea879522a7612e1e383027
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/037b9fb7f74381f354739d015193dc4a6897f620
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/038aed8ef08d5f6eb01712b843cb5e128463efe1
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/03a24c75b99277a4856e39b0cf99006c66b0119f
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/03aba7c7a204507cbf56132cb04d36fcc3736e30
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/03c93b66376d940531b9dab0a938987766a971d9
[ 04-26 19:51:34.863 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/03f59217fa2f8ca8820b1ee13187cedfd42d86ce
[ 04-26 19:51:34.864 DEBUG ] [4.0] old files: .minecraft/assets/objects/04/04933f2f39e339e7ba0db0c21812cb9ff9bdce8c
[ 04-26 19:51:34.864 DEBUG ] [4.0] old files: .minecraft/assets/objects/04/049a3049a5ac8631a6c5f367b7d824fc0d8de39b
[ 04-26 19:51:34.864 DEBUG ] [4.0] old files: .minecraft/assets/objects/04/04c43a7a9b7883538080f84bf5b4bcba0c8b9f8a
